id1,id2,matching_probability
1985,4251,1.0
199,126,1.0
2,2,1.0
20,28,1.0
200,1668,1.0
2008,3985,1.0
201,1402,1.0
202,682,1.0
206,539,1.0
2061,659,0.615
207,186,1.0
208,4861,1.0
214,114,1.0
215,535,1.0
218,502,1.0
2188,3120,1.0
219,969,1.0
22,39,1.0
220,2313,1.0
2209,2678,1.0
221,487,1.0
223,2008,1.0
225,534,1.0
228,1074,1.0
229,1482,1.0
23,341,1.0
230,286,1.0
231,204,1.0
232,203,1.0
233,1352,1.0
235,3213,1.0
237,2586,1.0
238,1362,1.0
24,66,1.0
241,649,1.0
2429,1602,1.0
243,584,1.0
244,2223,1.0
245,256,1.0
248,706,1.0
25,93,1.0
250,688,1.0
251,741,1.0
252,667,1.0
254,635,1.0
255,1822,1.0
256,1778,1.0
257,279,1.0
258,659,1.0
259,899,1.0
2593,2133,1.0
26,53,1.0
261,935,1.0
262,1614,1.0
267,644,1.0
268,615,1.0
269,4132,1.0
27,187,1.0
270,2331,1.0
272,3871,1.0
273,2660,1.0
274,758,1.0
277,1098,1.0
278,1454,1.0
279,589,1.0
28,108,1.0
280,1629,1.0
281,1066,1.0
282,991,1.0
283,1285,1.0
2847,659,0.733333333333
285,2340,1.0
286,2180,1.0
287,892,1.0
288,592,1.0
289,245,1.0
29,146,1.0
2936,4069,1.0
295,152,1.0
296,602,1.0
297,268,1.0
299,647,1.0
3,349,1.0
307,1356,1.0
308,1206,1.0
31,168,1.0
310,176,1.0
311,877,1.0
313,1296,1.0
314,297,1.0
316,867,1.0
317,1414,1.0
318,874,1.0
32,80,1.0
320,4539,1.0
321,1176,1.0
323,1458,1.0
326,610,1.0
328,1483,1.0
331,2349,1.0
333,661,1.0
334,3789,1.0
336,738,1.0
337,2519,1.0
340,1070,1.0
341,849,1.0
342,829,1.0
343,732,1.0
344,3385,1.0
346,645,1.0
347,1659,1.0
349,2290,1.0
35,1184,1.0
352,1846,1.0
353,2964,1.0
357,298,1.0
358,1128,1.0
359,1681,1.0
36,86,1.0
360,2105,1.0
362,919,1.0
363,185,1.0
364,222,1.0
366,2460,1.0
368,828,1.0
369,4111,1.0
37,212,1.0
371,1834,1.0
372,715,1.0
373,1180,1.0
375,1218,1.0
377,3658,1.0
378,2297,1.0
38,63,1.0
380,327,1.0
383,3042,1.0
384,1460,1.0
385,1200,1.0
386,147,1.0
