id,name,year,duration,genre,actors
160,Artemis Fowl,2019,,"Adventure, Family, Fantasy","Judi Dench,Josh Gad,Nonso Anozie,Miranda Raison"
161,Timeless,"2016,2018",60 min,"Action, Adventure, Drama","Abigail Spencer,Matt Lanter,Malcolm Barrett,Paterson Joseph"
162,Transformers,2007,144 min,"Action, Adventure, Sci-Fi","Shia LaBeouf,Megan Fox,Josh Duhamel,Tyrese Gibson"
163,Shazam!,"1974,1977",30 min,"Action, Family, Fantasy","Michael Gray,Les Tremayne,Jackson Bostwick,John Davey"
164,Arrival,2016,116 min,"Drama, Mystery, Sci-Fi","Amy Adams,Jeremy Renner,Forest Whitaker,Michael Stuhlbarg"
165,Replicas,2018,107 min,"Drama, Sci-Fi, Thriller","Keanu Reeves,Alice Eve,Thomas Middleditch,John Ortiz"
166,Firefly,"2002,2003",44 min,"Adventure, Drama, Sci-Fi","Nathan Fillion,Gina Torres,Alan Tudyk,Morena Baccarin"
167,Cloak & Dagger,2018,44 min,"Action, Adventure, Drama","Olivia Holt,Aubrey Joseph,Gloria Reuben,J.D. Evermore"
168,Ex Machina,2014,108 min,"Drama, Mystery, Sci-Fi","Alicia Vikander,Domhnall Gleeson,Oscar Isaac,Sonoya Mizuno"
169,Ghost in the Shell,2017,107 min,"Action, Drama, Sci-Fi","Scarlett Johansson,Pilou Asbæk,Takeshi Kitano,Juliette Binoche"
170,Battlestar Galactica,"2004,2009",44 min,"Action, Adventure, Drama","Edward James Olmos,Mary McDonnell,Jamie Bamber,James Callis"
171,Rogue One: A Star Wars Story,2016,133 min,"Action, Adventure, Sci-Fi","Felicity Jones,Diego Luna,Alan Tudyk,Donnie Yen"
172,Justice League vs the Fatal Five,2019,77 min,"Animation, Fantasy, Sci-Fi","Elyes Gabel,Diane Guerrero,Kevin Conroy,Susan Eisenberg"
173,Tinker',2018,97 min,"Drama, Family, Sci-Fi","Clayne Crawford,Christian Kane,Wilmer Calderon,Colt Crawford"
