id,name,year,duration,genre,actors
80,Prospect,2018,100 min,"Drama, Sci-Fi, Thriller","Sophie Thatcher,Jay Duplass,Pedro Pascal,Luke Pitzrick"
81,Alien: Covenant,2017,122 min,"Horror, Sci-Fi, Thriller","Michael Fassbender,Katherine Waterston,Billy Crudup,Danny McBride"
82,The Prestige,2006,130 min,"Drama, Mystery, Sci-Fi","Christian Bale,Hugh Jackman,Scarlett Johansson,Michael Caine"
83,X-Men Origins: Wolverine,2009,107 min,"Action, Adventure, Sci-Fi","Hugh Jackman,Liev Schreiber,Ryan Reynolds,Danny Huston"
84,Power Rangers,2017,124 min,"Action, Adventure, Sci-Fi","Dacre Montgomery,Naomi Scott,RJ Cyler,Ludi Lin"
85,Life,2017,104 min,"Horror, Sci-Fi, Thriller","Jake Gyllenhaal,Rebecca Ferguson,Ryan Reynolds,Hiroyuki Sanada"
86,Transformers,2007,144 min,"Action, Adventure, Sci-Fi","Shia LaBeouf,Megan Fox,Josh Duhamel,Tyrese Gibson"
87,Arrival,2016,116 min,"Drama, Mystery, Sci-Fi","Amy Adams,Jeremy Renner,Forest Whitaker,Michael Stuhlbarg"
88,Replicas,2018,107 min,"Drama, Sci-Fi, Thriller","Keanu Reeves,Alice Eve,Thomas Middleditch,John Ortiz"
89,Ex Machina,2014,108 min,"Drama, Mystery, Sci-Fi","Alicia Vikander,Domhnall Gleeson,Oscar Isaac,Sonoya Mizuno"
90,Ghost in the Shell,2017,107 min,"Action, Drama, Sci-Fi","Scarlett Johansson,Pilou Asbæk,Takeshi Kitano,Juliette Binoche"
91,Rogue One: A Star Wars Story,2016,133 min,"Action, Adventure, Sci-Fi","Felicity Jones,Diego Luna,Alan Tudyk,Donnie Yen"
92,Justice League vs the Fatal Five,2019,77 min,"Animation, Fantasy, Sci-Fi","Elyes Gabel,Diane Guerrero,Kevin Conroy,Susan Eisenberg"
93,Rampage,2018,107 min,"Action, Adventure, Sci-Fi","Dwayne Johnson,Naomie Harris,Malin Akerman,Jeffrey Dean Morgan"
94,Eternal Sunshine of the Spotless Mind,2004,108 min,"Drama, Romance, Sci-Fi","Jim Carrey,Kate Winslet,Tom Wilkinson,Gerry Robert Byrne"
95,X-Men: Days of Future Past,2014,132 min,"Action, Adventure, Sci-Fi","Patrick Stewart,Ian McKellen,Hugh Jackman,James McAvoy"
96,Star Wars: Episode IV - A New Hope,1977,121 min,"Action, Adventure, Fantasy","Mark Hamill,Harrison Ford,Carrie Fisher,Alec Guinness"
97,The Lobster,2015,119 min,"Comedy, Drama, Romance","Colin Farrell,Rachel Weisz,Jessica Barden,Olivia Colman"
