id,name,year,duration,genre,actors
54,Avengers: Age of Ultron,2015,2h 21m,"Action,Adventure,Science Fiction","Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo,Chris Evans,Scarlett Johansson"
55,Destroyer,2018,2h 1m,"Thriller,Crime,Drama,Action","Nicole Kidman,Sebastian Stan,Tatiana Maslany,Bradley Whitford,Toby Kebbell"
56,Mirage,2018,2h 8m,"Science Fiction,Thriller,Drama,Romance","Adriana Ugarte,Javier Gutiérrez,Álvaro Morte,Chino Darín,Nora Navas"
57,Holmes & Watson,2018,1h 30m,"Mystery,Adventure,Comedy,Crime","Will Ferrell,John C. Reilly,Rebecca Hall,Ralph Fiennes,Hugh Laurie"
58,Captive State,2019,1h 50m,"Thriller,Science Fiction","John Goodman,Vera Farmiga,Ashton Sanders,Machine Gun Kelly,Madeline Brewer"
59,Ant-Man and the Wasp,2018,1h 59m,"Action,Adventure,Science Fiction,Comedy,Family","Paul Rudd,Evangeline Lilly,Michael Peña,Walton Goggins,Bobby Cannavale"
60,Split,2017,1h 57m,"Horror,Thriller","James McAvoy,Anya Taylor-Joy,Betty Buckley,Haley Lu Richardson,Jessica Sula"
61,John Wick,2014,1h 41m,"Action,Thriller","Keanu Reeves,Michael Nyqvist,Alfie Allen,Willem Dafoe,Ian McShane"
62,Kuppathu Raja,2019,2h 2m,"Action,Comedy,Drama","G. V. Prakash Kumar,Parthiban,Palak Lalwani,Poonam Bajwa,Yogi Babu"
63,A Star Is Born,2018,2h 15m,"Drama,Romance","Bradley Cooper,Lady Gaga,Sam Elliott,Andrew Dice Clay,Dave Chappelle"
64,Wonder Woman,2017,2h 21m,"Adventure,Fantasy,War","Gal Gadot,Chris Pine,Connie Nielsen,Robin Wright,Danny Huston"
65,The Lord of the Rings: The Fellowship of the Ring,2001,2h 58m,"Adventure,Fantasy,Action","Elijah Wood,Ian McKellen,Viggo Mortensen,Sean Astin,Liv Tyler"
66,The Lord of the Rings: The Return of the King,2003,3h 21m,"Adventure,Fantasy,Action","Elijah Wood,Ian McKellen,Viggo Mortensen,Sean Astin,Liv Tyler"
67,Interstellar,2014,2h 49m,"Adventure,Drama,Science Fiction","Matthew McConaughey,Jessica Chastain,Anne Hathaway,Michael Caine,Casey Affleck"
68,Re: Zero kara Hajimeru Isekai Seikatsu - Memory Snow,2018,1h 15m,"Animation,Adventure","Yuusuke Kobayashi,Rie Takahashi,Inori Minase,Yumi Uchiyama,Rie Murakawa"
69,Thor,2011,1h 55m,"Adventure,Fantasy,Action","Chris Hemsworth,Natalie Portman,Tom Hiddleston,Anthony Hopkins,Stellan Skarsgård"
70,What Men Want,2019,1h 57m,"Comedy,Fantasy,Romance","Taraji P. Henson,Tracy Morgan,Aldis Hodge,Wendi McLendon-Covey,Kristen Ledlow"
71,Captain America: Civil War,2016,2h 27m,"Adventure,Action,Science Fiction","Chris Evans,Robert Downey Jr.,Scarlett Johansson,Sebastian Stan,Anthony Mackie"
72,Iron Man,2008,2h 6m,"Action,Science Fiction,Adventure","Robert Downey Jr.,Terrence Howard,Jeff Bridges,Gwyneth Paltrow,Leslie Bibb"
73,Star Wars,1977,2h 1m,"Adventure,Action,Science Fiction","Mark Hamill,Harrison Ford,Carrie Fisher,Peter Mayhew,Anthony Daniels"
74,Harry Potter and the Chamber of Secrets,2002,2h 41m,"Adventure,Fantasy,Family","Daniel Radcliffe,Rupert Grint,Emma Watson,Richard Harris,Alan Rickman"
75,Unbreakable,2000,1h 46m,"Thriller,Drama,Fantasy,Science Fiction,Mystery","Bruce Willis,Samuel L. Jackson,Robin Wright,Davis Duffield,Johnny Hiram Jamison"
76,Green Book,2018,2h 10m,"Drama,Comedy,Music","Viggo Mortensen,Mahershala Ali,Linda Cardellini,Dimiter D. Marinov,Mike Hatton"
77,Fighting with My Family,2019,1h 48m,"Comedy,Drama","Florence Pugh,Lena Headey,Nick Frost,Jack Lowden,Vince Vaughn"
78,Fifty Shades Freed,2018,1h 45m,"Drama,Romance","Dakota Johnson,Jamie Dornan,Eric Johnson,Luke Grimes,Rita Ora"
79,Wonder Park,2019,1h 26m,"Comedy,Animation,Adventure,Family,Fantasy","Brianna Denski,Matthew Broderick,Jennifer Garner,Sofia Mali,Kenan Thompson"
